episode,step,position,velocity,action
1,1,-0.5110874,-0.0016004646,-0.9964384436607361
1,2,-0.5142775,-0.0031901062,-0.9972190856933594
1,3,-0.51903045,-0.0047529503,-0.9952958226203918
1,4,-0.5252961,-0.006265621,-0.9856063723564148
1,5,-0.5330438,-0.0077477014,-0.9965399503707886
1,6,-0.5422153,-0.00917151,-0.9964247345924377
1,7,-0.5527405,-0.010525231,-0.995514988899231
1,8,-0.56454253,-0.011802016,-0.9967126250267029
1,9,-0.57753277,-0.012990214,-0.9963363409042358
1,10,-0.5916155,-0.014082726,-0.9968363046646118
1,11,-0.6066816,-0.015066114,-0.9933204054832458
1,12,-0.6226261,-0.015944526,-0.9967339038848877
1,13,-0.6393236,-0.016697478,-0.9898538589477539
1,14,-0.6566622,-0.017338622,-0.9945005774497986
1,15,-0.67452276,-0.017860508,-0.9957113862037659
1,16,-0.69278127,-0.018258521,-0.9944419860839844
1,17,-0.71131766,-0.018536367,-0.9952885508537292
1,18,-0.7300149,-0.018697273,-0.9970343112945557
1,19,-0.7487556,-0.018740647,-0.9962872862815857
1,20,-0.76742756,-0.018671978,-0.996328592300415
1,21,-0.7859246,-0.018497072,-0.9966902136802673
1,22,-0.8041429,-0.018218279,-0.9945084452629089
1,23,-0.8219913,-0.017848458,-0.9963383674621582
1,24,-0.8393839,-0.017392565,-0.9966048002243042
1,25,-0.85624117,-0.016857244,-0.9962435960769653
1,26,-0.8724928,-0.016251612,-0.9968277215957642
1,27,-0.8880714,-0.015578637,-0.9942955374717712
1,28,-0.9029253,-0.014853899,-0.9971790909767151
1,29,-0.91700506,-0.014079763,-0.9968888163566589
1,30,-0.9302656,-0.013260569,-0.99502032995224
1,31,-0.9426705,-0.012404889,-0.9947122931480408
1,32,-0.95419276,-0.011522246,-0.9969626069068909
1,33,-0.96480495,-0.010612203,-0.9955170154571533
1,34,-0.9744872,-0.009682241,-0.9960368871688843
1,35,-0.9832251,-0.008737903,-0.9976138472557068
1,36,-0.9910044,-0.0077793202,-0.9970119595527649
1,37,-0.9978148,-0.0068103475,-0.9970582723617554
1,38,-1.0036467,-0.005831981,-0.9961658716201782
1,39,-1.0084953,-0.0048486292,-0.9968938231468201
1,40,-1.0123496,-0.0038542303,-0.9925126433372498
1,41,-1.0152142,-0.0028646048,-0.9978168606758118
1,42,-1.0170835,-0.0018693036,-0.995466411113739
1,43,-1.0179597,-0.00087623624,-0.9978249669075012
1,44,-1.0178427,0.00011710149,-0.9980342388153076
1,45,-1.0167319,0.0011107788,-0.9977564811706543
1,46,-1.01463,0.002101875,-0.9989796280860901
1,47,-1.0115315,0.0030984457,-0.9943376183509827
1,48,-1.0045135,0.0070180157,0.9559114575386047
