episode,step,position,velocity,action
1,1,-0.5836761,-0.0010596768,-1.0
1,2,-0.58578765,-0.0021115323,-1.0
1,3,-0.5889355,-0.0031478168,-1.0
1,4,-0.59309644,-0.004160923,-1.0
1,5,-0.5982399,-0.0051434585,-1.0
1,6,-0.6043282,-0.0060883164,-1.0
1,7,-0.611317,-0.0069887475,-1.0
1,8,-0.6191554,-0.007838428,-1.0
1,9,-0.62778693,-0.008631529,-1.0
1,10,-0.6371497,-0.00936278,-1.0
1,11,-0.6471772,-0.010027523,-1.0
1,12,-0.657799,-0.010621771,-1.0
1,13,-0.66894126,-0.01114224,-1.0
1,14,-0.6805276,-0.011586385,-1.0
1,15,-0.69248,-0.011952416,-1.0
1,16,-0.7047193,-0.0122393025,-1.0
1,17,-0.71716607,-0.012446762,-1.0
1,18,-0.7297413,-0.012575235,-1.0
1,19,-0.74236715,-0.012625849,-1.0
1,20,-0.7549675,-0.012600364,-1.0
1,21,-0.76746863,-0.012501118,-1.0
1,22,-0.7797996,-0.012330947,-1.0
1,23,-0.7918927,-0.012093119,-1.0
1,24,-0.80368394,-0.011791248,-1.0
1,25,-0.8151131,-0.011429214,-1.0
1,26,-0.8261242,-0.011011087,-1.0
1,27,-0.8366653,-0.010541053,-1.0
1,28,-0.8466886,-0.010023339,-1.0
1,29,-0.8561508,-0.009462157,-1.0
1,30,-0.86501247,-0.008861652,-1.0
1,31,-0.8732383,-0.008225852,-1.0
1,32,-0.88079697,-0.00755864,-1.0
1,33,-0.8876607,-0.0068637277,-1.0
1,34,-0.8938053,-0.0061446386,-1.0
1,35,-0.89921004,-0.0054047033,-1.0
1,36,-0.9038571,-0.004647061,-1.0
1,37,-0.9077318,-0.003874669,-1.0
1,38,-0.9108221,-0.003090316,-1.0
1,39,-0.9131187,-0.0022966443,-1.0
1,40,-0.9146149,-0.0014961748,-1.0
1,41,-0.91530627,-0.0006913357,-1.0
1,42,-0.91519076,0.00011550693,-1.0
1,43,-0.9112687,0.0039220154,1.0
1,44,-0.9035517,0.0077170176,1.0
1,45,-0.89206326,0.0114884535,1.0
1,46,-0.8768407,0.015222556,1.0
1,47,-0.8579376,0.01890311,1.0
1,48,-0.83542675,0.022510853,1.0
1,49,-0.80940366,0.02602307,1.0
1,50,-0.7799902,0.029413452,1.0
1,51,-0.7473379,0.032652307,1.0
1,52,-0.7116307,0.035707157,1.0
1,53,-0.67308694,0.038543787,1.0
1,54,-0.6319592,0.04112774,1.0
1,55,-0.588533,0.043426204,1.0
1,56,-0.5431228,0.045410138,1.0
1,57,-0.49606633,0.047056485,1.0
1,58,-0.44771612,0.048350226,1.0
1,59,-0.3984301,0.049286008,1.0
1,60,-0.34856096,0.04986915,1.0
1,61,-0.29844508,0.050115872,1.0
1,62,-0.24839234,0.05005273,1.0
1,63,-0.19867703,0.04971531,1.0
1,64,-0.14953065,0.049146384,1.0
1,65,-0.101136915,0.048393738,1.0
1,66,-0.053628985,0.04750793,1.0
1,67,-0.0070887683,0.046540216,1.0
1,68,0.038452014,0.04554078,1.0
1,69,0.08300941,0.044557396,1.0
1,70,0.12664393,0.043634515,1.0
1,71,0.16945672,0.04281279,1.0
1,72,0.21158567,0.042128943,1.0
1,73,0.25320157,0.041615903,1.0
1,74,0.2945047,0.04130313,1.0
1,75,0.33572173,0.041217037,1.0
1,76,0.37710312,0.04138139,1.0
1,77,0.41892081,0.041817702,1.0
1,78,0.46146628,0.042545456,1.0
2,1,-0.40901315,-0.002359204,-1.0
2,2,-0.41371492,-0.0047017704,-1.0
2,3,-0.42072597,-0.0070110536,-1.0
2,4,-0.42999637,-0.00927041,-1.0
2,5,-0.4414596,-0.011463238,-1.0
2,6,-0.45503268,-0.013573066,-1.0
2,7,-0.47061637,-0.015583693,-1.0
2,8,-0.48809576,-0.01747939,-1.0
2,9,-0.5073409,-0.019245159,-1.0
2,10,-0.52820796,-0.020867044,-1.0
2,11,-0.55054045,-0.022332476,-1.0
2,12,-0.57417107,-0.023630634,-1.0
2,13,-0.59892386,-0.024752796,-1.0
2,14,-0.6246165,-0.025692653,-1.0
2,15,-0.6510631,-0.026446564,-1.0
2,16,-0.6780768,-0.02701371,-1.0
2,17,-0.70547295,-0.027396154,-1.0
2,18,-0.73307174,-0.027598778,-1.0
2,19,-0.7607009,-0.027629111,-1.0
2,20,-0.78819793,-0.027497051,-1.0
2,21,-0.81541246,-0.0272145,-1.0
2,22,-0.8422074,-0.026794935,-1.0
2,23,-0.86846036,-0.026252959,-1.0
2,24,-0.8940642,-0.025603833,-1.0
2,25,-0.91892725,-0.024863036,-1.0
2,26,-0.94297314,-0.024045862,-1.0
2,27,-0.9661402,-0.023167076,-1.0
2,28,-0.98838085,-0.022240628,-1.0
2,29,-1.0096602,-0.021279445,-1.0
2,30,-1.0299555,-0.02029528,-1.0
2,31,-1.0492542,-0.019298622,-1.0
2,32,-1.0675528,-0.01829867,-1.0
2,33,-1.0848562,-0.01730333,-1.0
2,34,-1.1011754,-0.016319267,-1.0
2,35,-1.1165274,-0.015351974,-1.0
2,36,-1.1309333,-0.014405854,-1.0
2,37,-1.1444176,-0.013484322,-1.0
2,38,-1.1570076,-0.012589902,-1.0
2,39,-1.1687319,-0.011724334,-1.0
2,40,-1.1796206,-0.010888671,-1.0
2,41,-1.189704,-0.010083368,-1.0
2,42,-1.1990123,-0.009308375,-1.0
2,43,-1.2,0.0,-1.0
2,44,-1.1992582,0.00074189587,-1.0
2,45,-1.194772,0.0044862484,1.0
2,46,-1.1865268,0.0082452195,1.0
2,47,-1.1744968,0.012029989,1.0
2,48,-1.158647,0.015849886,1.0
2,49,-1.1389354,0.019711448,1.0
2,50,-1.1153181,0.023617366,1.0
2,51,-1.0877527,0.027565343,1.0
2,52,-1.0562059,0.031546865,1.0
2,53,-1.0206599,0.035545953,1.0
2,54,-0.9811219,0.039538033,1.0
2,55,-0.9376328,0.043489076,1.0
2,56,-0.89027756,0.04735524,1.0
2,57,-0.83919424,0.051083297,1.0
2,58,-0.7845821,0.054612152,1.0
2,59,-0.7267065,0.057875585,1.0
2,60,-0.6659001,0.060806368,1.0
2,61,-0.6025586,0.063341506,1.0
2,62,-0.5371304,0.06542818,1.0
2,63,-0.47010076,0.06702964,1.0
2,64,-0.40197062,0.06813013,1.0
2,65,-0.3332326,0.06873803,1.0
2,66,-0.26434597,0.06888664,1.0
2,67,-0.19571355,0.068632424,1.0
2,68,-0.12766245,0.06805111,1.0
2,69,-0.060430225,0.06723223,1.0
2,70,0.0058429744,0.0662732,1.0
2,71,0.07111656,0.06527358,1.0
2,72,0.13544683,0.064330265,1.0
2,73,0.19898066,0.063533835,1.0
2,74,0.26194686,0.06296619,1.0
2,75,0.32464606,0.062699206,1.0
2,76,0.38744015,0.06279409,1.0
2,77,0.4507412,0.063301064,1.0
3,1,-0.5119457,-0.0015993669,-1.0
3,2,-0.5151325,-0.003186747,-1.0
3,3,-0.51988274,-0.0047502373,-1.0
3,4,-0.52616084,-0.006278107,-1.0
3,5,-0.53391975,-0.0077588917,-1.0
3,6,-0.54310125,-0.009181497,-1.0
3,7,-0.55363655,-0.010535312,-1.0
3,8,-0.5654469,-0.0118103335,-1.0
3,9,-0.5784442,-0.012997297,-1.0
3,10,-0.592532,-0.014087809,-1.0
3,11,-0.6076065,-0.015074488,-1.0
3,12,-0.62355757,-0.015951078,-1.0
3,13,-0.6402701,-0.016712572,-1.0
3,14,-0.65762544,-0.017355295,-1.0
3,15,-0.6755024,-0.017876962,-1.0
3,16,-0.6937791,-0.01827671,-1.0
3,17,-0.7123342,-0.018555086,-1.0
3,18,-0.7310482,-0.018714,-1.0
3,19,-0.74980485,-0.018756637,-1.0
3,20,-0.7684922,-0.018687343,-1.0
3,21,-0.7870037,-0.018511469,-1.0
3,22,-0.8052389,-0.018235207,-1.0
3,23,-0.8231043,-0.01786541,-1.0
3,24,-0.8405137,-0.017409401,-1.0
3,25,-0.8573885,-0.016874779,-1.0
3,26,-0.87365776,-0.016269254,-1.0
3,27,-0.88925827,-0.0156004755,-1.0
3,28,-0.90413415,-0.0148758935,-1.0
3,29,-0.9182368,-0.014102636,-1.0
3,30,-0.9315242,-0.013287411,-1.0
3,31,-0.94396067,-0.012436436,-1.0
3,32,-0.95551604,-0.011555381,-1.0
3,33,-0.96616536,-0.010649349,-1.0
3,34,-0.9758882,-0.009722856,-1.0
3,35,-0.984668,-0.008779844,-1.0
3,36,-0.9924917,-0.007823702,-1.0
3,37,-0.999349,-0.0068572946,-1.0
3,38,-1.005232,-0.0058830073,-1.0
3,39,-1.0101348,-0.0049027936,-1.0
3,40,-1.0140531,-0.003918231,-1.0
3,41,-1.0169836,-0.0029305795,-1.0
3,42,-1.0189245,-0.0019408424,-1.0
3,43,-1.0198743,-0.0009498299,-1.0
3,44,-1.0198326,4.1776046e-05,-1.0
3,45,-1.0157993,0.0040333564,1.0
3,46,-1.007777,0.008022274,1.0
3,47,-0.9957722,0.012004812,1.0
3,48,-0.97979707,0.01597512,1.0
3,49,-0.9598729,0.019924186,1.0
3,50,-0.936034,0.023838887,1.0
3,51,-0.9083329,0.02770115,1.0
3,52,-0.87684554,0.03148733,1.0
3,53,-0.84167767,0.035167903,1.0
3,54,-0.80297005,0.038707584,1.0
3,55,-0.760904,0.04206604,1.0
3,56,-0.71570474,0.045199256,1.0
3,57,-0.66764313,0.048061606,1.0
3,58,-0.6170345,0.050608627,1.0
3,59,-0.56423426,0.052800253,1.0
3,60,-0.50962996,0.054604266,1.0
3,61,-0.45363045,0.05599953,1.0
3,62,-0.39665183,0.05697861,1.0
3,63,-0.33910248,0.057549357,1.0
3,64,-0.28136727,0.057735212,1.0
3,65,-0.22379307,0.057574205,1.0
3,66,-0.16667628,0.057116795,1.0
3,67,-0.11025341,0.056422874,1.0
3,68,-0.054695025,0.055558383,1.0
3,69,-0.00010306217,0.05459196,1.0
3,70,0.0534889,0.053591963,1.0
3,71,0.10611298,0.05262408,1.0
3,72,0.15786266,0.051749688,1.0
3,73,0.2088875,0.051024843,1.0
3,74,0.25938737,0.05049987,1.0
3,75,0.30960673,0.05021936,1.0
3,76,0.35982916,0.05022241,1.0
3,77,0.4103721,0.05054296,1.0
3,78,0.4615821,0.051209997,1.0
4,1,-0.41950536,-0.0022843594,-1.0
4,2,-0.42405778,-0.004552433,-1.0
4,3,-0.43084574,-0.0067879437,-1.0
4,4,-0.43982038,-0.008974649,-1.0
4,5,-0.45091677,-0.011096393,-1.0
4,6,-0.46405396,-0.013137199,-1.0
4,7,-0.47913536,-0.015081414,-1.0
4,8,-0.49604926,-0.016913902,-1.0
4,9,-0.51466954,-0.018620288,-1.0
4,10,-0.5348568,-0.02018725,-1.0
4,11,-0.5564596,-0.02160283,-1.0
4,12,-0.5793164,-0.022856772,-1.0
4,13,-0.60325724,-0.023940833,-1.0
4,14,-0.6281063,-0.024849065,-1.0
4,15,-0.6536843,-0.025578037,-1.0
4,16,-0.6798113,-0.026126973,-1.0
4,17,-0.7063091,-0.026497796,-1.0
4,18,-0.73300415,-0.026695063,-1.0
4,19,-0.75973,-0.026725808,-1.0
4,20,-0.78632927,-0.026599271,-1.0
4,21,-0.81265587,-0.026326573,-1.0
4,22,-0.8385762,-0.025920318,-1.0
4,23,-0.8639704,-0.025394175,-1.0
4,24,-0.88873285,-0.024762448,-1.0
4,25,-0.91277254,-0.024039667,-1.0
4,26,-0.93601274,-0.023240216,-1.0
4,27,-0.9583908,-0.022378005,-1.0
4,28,-0.97985697,-0.021466207,-1.0
4,29,-1.000374,-0.02051705,-1.0
4,30,-1.0199156,-0.019541673,-1.0
4,31,-1.0384656,-0.018550042,-1.0
4,32,-1.0560166,-0.0175509,-1.0
4,33,-1.0725683,-0.016551776,-1.0
4,34,-1.0881273,-0.015559014,-1.0
4,35,-1.1027051,-0.014577837,-1.0
4,36,-1.1163175,-0.013612419,-1.0
4,37,-1.1289835,-0.012665975,-1.0
4,38,-1.1407243,-0.011740848,-1.0
4,39,-1.1515629,-0.010838611,-1.0
4,40,-1.1615231,-0.009960149,-1.0
4,41,-1.1706289,-0.009105755,-1.0
4,42,-1.178904,-0.0082752025,-1.0
4,43,-1.1863719,-0.007467826,-1.0
4,44,-1.1930546,-0.0066825855,-1.0
4,45,-1.1989727,-0.0059181266,-1.0
4,46,-1.2,0.0,-1.0
4,47,-1.1992582,0.00074189587,-1.0
4,48,-1.194772,0.0044862484,1.0
4,49,-1.1865268,0.0082452195,1.0
4,50,-1.1744968,0.012029989,1.0
4,51,-1.158647,0.015849886,1.0
4,52,-1.1389354,0.019711448,1.0
4,53,-1.1153181,0.023617366,1.0
4,54,-1.0877527,0.027565343,1.0
4,55,-1.0562059,0.031546865,1.0
4,56,-1.0206599,0.035545953,1.0
4,57,-0.9811219,0.039538033,1.0
4,58,-0.9376328,0.043489076,1.0
4,59,-0.89027756,0.04735524,1.0
4,60,-0.83919424,0.051083297,1.0
4,61,-0.7845821,0.054612152,1.0
4,62,-0.7267065,0.057875585,1.0
4,63,-0.6659001,0.060806368,1.0
4,64,-0.6025586,0.063341506,1.0
4,65,-0.5371304,0.06542818,1.0
4,66,-0.47010076,0.06702964,1.0
4,67,-0.40197062,0.06813013,1.0
4,68,-0.3332326,0.06873803,1.0
4,69,-0.26434597,0.06888664,1.0
4,70,-0.19571355,0.068632424,1.0
4,71,-0.12766245,0.06805111,1.0
4,72,-0.060430225,0.06723223,1.0
4,73,0.0058429744,0.0662732,1.0
4,74,0.07111656,0.06527358,1.0
4,75,0.13544683,0.064330265,1.0
4,76,0.19898066,0.063533835,1.0
4,77,0.26194686,0.06296619,1.0
4,78,0.32464606,0.062699206,1.0
4,79,0.38744015,0.06279409,1.0
4,80,0.4507412,0.063301064,1.0
5,1,-0.46362615,-0.0019618403,-1.0
5,2,-0.46753535,-0.003909212,-1.0
5,3,-0.47336304,-0.005827708,-1.0
5,4,-0.4810661,-0.0077030514,-1.0
5,5,-0.4905873,-0.009521182,-1.0
5,6,-0.5018557,-0.011268363,-1.0
5,7,-0.514787,-0.012931321,-1.0
5,8,-0.5292844,-0.014497401,-1.0
5,9,-0.54523915,-0.01595476,-1.0
5,10,-0.5625317,-0.017292572,-1.0
5,11,-0.58103293,-0.018501239,-1.0
5,12,-0.60060555,-0.01957261,-1.0
5,13,-0.62110573,-0.020500183,-1.0
5,14,-0.642385,-0.021279266,-1.0
5,15,-0.6642921,-0.021907106,-1.0
5,16,-0.6866751,-0.02238296,-1.0
5,17,-0.7093832,-0.022708096,-1.0
5,18,-0.7322689,-0.022885742,-1.0
5,19,-0.7551899,-0.022920951,-1.0
5,20,-0.7780103,-0.022820422,-1.0
5,21,-0.80060256,-0.022592267,-1.0
5,22,-0.82284826,-0.022245733,-1.0
5,23,-0.8446392,-0.02179092,-1.0
5,24,-0.8658776,-0.021238476,-1.0
5,25,-0.88647693,-0.020599311,-1.0
5,26,-0.9063613,-0.019884326,-1.0
5,27,-0.92546546,-0.019104168,-1.0
5,28,-0.9437345,-0.018269034,-1.0
5,29,-0.96112305,-0.017388497,-1.0
5,30,-0.97759444,-0.016471384,-1.0
5,31,-0.99312013,-0.015525688,-1.0
5,32,-1.0076786,-0.0145585155,-1.0
5,33,-1.0212547,-0.013576064,-1.0
