episode,step,position,velocity,action
1,1,-0.5457246,0.0015385485,0.9074767231941223
1,2,-0.54269457,0.0030299798,0.8837397694587708
1,3,-0.53807044,0.004624126,0.9673375487327576
1,4,-0.53189796,0.00617245,0.9598803520202637
1,5,-0.525599,0.0062989765,0.04285961762070656
1,6,-0.5193021,0.006296844,-0.011422596871852875
1,7,-0.5117256,0.0075765327,0.8746082782745361
1,8,-0.5027381,0.008987503,1.005203366279602
1,9,-0.49242982,0.010308292,0.9847612380981445
1,10,-0.48085496,0.011574865,1.0062679052352905
1,11,-0.46818316,0.0126718115,0.9444311261177063
1,12,-0.45452675,0.013656416,0.9322065711021423
1,13,-0.43988466,0.014642075,1.0302101373672485
1,14,-0.42443702,0.0154476445,0.9512310028076172
1,15,-0.40827549,0.016161537,0.9644559621810913
1,16,-0.3915147,0.01676079,0.9646848440170288
1,17,-0.37421882,0.017295882,1.0190855264663696
1,18,-0.35650617,0.017712658,1.0080897808074951
1,19,-0.338622,0.017884152,0.9152402877807617
1,20,-0.3206191,0.018002907,0.957310140132904
1,21,-0.30261755,0.018001558,0.9524297118186951
1,22,-0.2846546,0.017962959,1.0072472095489502
1,23,-0.26693675,0.017717846,0.9315919280052185
1,24,-0.24947618,0.017460562,0.9886865019798279
1,25,-0.23240799,0.017068194,0.9596865773200989
1,26,-0.21586919,0.016538803,0.9247846603393555
1,27,-0.19985284,0.016016345,0.9809106588363647
1,28,-0.18585047,0.014002364,0.03332054615020752
1,29,-0.17249577,0.013354706,0.9824829697608948
1,30,-0.16125162,0.011244143,0.04140034317970276
1,31,-0.15076551,0.010486108,0.9700679183006287
1,32,-0.14102802,0.0097374935,1.047512412071228
1,33,-0.13211387,0.00891414,0.9708091616630554
1,34,-0.124005936,0.008107942,1.0120360851287842
1,35,-0.118143454,0.00586248,0.05568520724773407
1,36,-0.11466705,0.0034764037,-0.027643704786896706
1,37,-0.113484725,0.0011823255,0.03963587433099747
1,38,-0.11463747,-0.0011527495,0.014288478530943394
1,39,-0.116996594,-0.0023591185,0.7648252248764038
1,40,-0.12055757,-0.0035609768,0.7638159394264221
1,41,-0.12637411,-0.005816549,0.055129047483205795
1,42,-0.13435183,-0.007977729,0.1075301468372345
1,43,-0.14448541,-0.010133574,0.09588144719600677
1,44,-0.15683621,-0.012350793,0.03438642621040344
1,45,-0.17141199,-0.014575774,0.0022423623595386744
1,46,-0.18811956,-0.016707567,0.02991824969649315
1,47,-0.20688078,-0.018761225,0.03911488875746727
1,48,-0.22655156,-0.019670784,0.7494687438011169
1,49,-0.24816616,-0.021614589,0.000446453457698226
1,50,-0.27158728,-0.02342111,0.021364843472838402
1,51,-0.296639,-0.025051726,0.056326448917388916
1,52,-0.32321113,-0.026572129,0.03552562743425369
1,53,-0.3511759,-0.027964767,0.014244245365262032
1,54,-0.3803572,-0.029181313,0.013149259611964226
1,55,-0.41057795,-0.030220732,0.0014212701935321093
1,56,-0.44154394,-0.03096597,0.057512346655130386
1,57,-0.47306934,-0.031525407,0.03318500518798828
1,58,-0.50491774,-0.031848427,0.036334846168756485
1,59,-0.53682643,-0.0319087,0.053175922483205795
1,60,-0.5672569,-0.030430475,0.9193614721298218
1,61,-0.5973061,-0.030049173,0.036534205079078674
1,62,-0.62676555,-0.029459465,0.027598176151514053
1,63,-0.65533614,-0.028570604,0.08493708074092865
1,64,-0.6828956,-0.027559444,0.03243293613195419
1,65,-0.7092677,-0.026372073,0.02506914734840393
1,66,-0.7342402,-0.024972493,0.051974304020404816
1,67,-0.7576731,-0.0234329,0.04189775511622429
1,68,-0.7794391,-0.021766035,0.034715186804533005
1,69,-0.7994763,-0.020037219,-0.004712254274636507
1,70,-0.8176438,-0.01816748,0.019272685050964355
1,71,-0.8338999,-0.01625608,-0.012561321258544922
1,72,-0.8481406,-0.014240683,0.006664552725851536
1,73,-0.860277,-0.01213642,0.024625655263662338
1,74,-0.87025917,-0.009982149,0.024763738736510277
1,75,-0.87726516,-0.0070059635,0.5467992424964905
1,76,-0.88113505,-0.0038699175,0.6359581351280212
1,77,-0.8826621,-0.0015270988,0.09779561311006546
1,78,-0.8819953,0.00066680094,-0.005116665735840797
1,79,-0.879082,0.002913308,0.03153754398226738
1,80,-0.8738457,0.005236352,0.08954519033432007
1,81,-0.8650377,0.008807999,0.93477863073349
1,82,-0.85399854,0.0110391425,0.0634966716170311
1,83,-0.8406808,0.013317749,0.1245984435081482
1,84,-0.82517684,0.01550393,0.10055485367774963
1,85,-0.80621094,0.018965885,0.9975345730781555
