episode,step,position,velocity,action
1,1,-0.4845999,-0.00029401484,0.0
1,2,-0.48518574,-0.0005858397,0.0
1,3,-0.48605904,-0.0008733002,0.0
1,4,-0.48721328,-0.0011542535,0.0
1,5,-0.4886399,-0.0014266031,0.0
1,6,-0.4903282,-0.0016883144,0.0
1,7,-0.4922656,-0.0019374297,0.0
1,8,-0.4944377,-0.0021720824,0.0
1,9,-0.4968282,-0.0023905116,0.0
1,10,-0.49941927,-0.0025910751,0.0
1,11,-0.50219154,-0.0027722623,0.0
1,12,-0.5051243,-0.0029327061,0.0
1,13,-0.50819546,-0.003071194,0.0
1,14,-0.51138216,-0.0031866778,0.0
1,15,-0.5146604,-0.003278282,0.0
1,16,-0.51807606,-0.0034156241,-0.046875
1,17,-0.52195495,-0.0038789175,-0.28125
1,18,-0.5270063,-0.0050514024,-0.7734375
1,19,-0.5335087,-0.0065024085,-0.984375
1,20,-0.5414368,-0.007928095,-1.0
1,21,-0.5507312,-0.009294374,-1.0
1,22,-0.5613223,-0.010591106,-1.0
1,23,-0.5731311,-0.011808783,-1.0
1,24,-0.58606976,-0.012938656,-1.0
1,25,-0.60004264,-0.013972862,-1.0
1,26,-0.6149472,-0.014904545,-1.0
1,27,-0.6306752,-0.015727974,-1.0
1,28,-0.64711386,-0.01643864,-1.0
1,29,-0.6641472,-0.017033331,-1.0
1,30,-0.6816574,-0.017510176,-1.0
1,31,-0.699526,-0.017868662,-1.0
1,32,-0.7174833,-0.017957274,-0.8984375
1,33,-0.734735,-0.017251726,-0.4453125
1,34,-0.750507,-0.015771987,0.0
1,35,-0.7647056,-0.014198596,0.0
1,36,-0.7772495,-0.012543902,0.0
1,37,-0.78806937,-0.010819874,0.0
1,38,-0.79710734,-0.009037998,0.0
1,39,-0.8043166,-0.0072092367,0.0
1,40,-0.8096606,-0.0053440398,0.0
1,41,-0.81311303,-0.003452396,0.0
1,42,-0.814657,-0.0015439248,0.0
1,43,-0.814285,0.00037200557,0.0
1,44,-0.81199884,0.0022861424,0.0
1,45,-0.80780965,0.0041892054,0.0
1,46,-0.8017379,0.0060717436,0.0
1,47,-0.79380196,0.007935954,0.007965087890625
1,48,-0.7837566,0.010045361,0.19842529296875
1,49,-0.77129745,0.012459186,0.4365234375
1,50,-0.7561945,0.015102991,0.634918212890625
1,51,-0.738259,0.017935466,0.81744384765625
1,52,-0.71735835,0.020900674,0.976165771484375
1,53,-0.693585,0.023773361,0.999969482421875
1,54,-0.6670913,0.026493669,0.999969482421875
1,55,-0.63805443,0.029036885,0.999969482421875
1,56,-0.6066759,0.03137849,0.999969482421875
1,57,-0.57318085,0.03349509,0.999969482421875
1,58,-0.53781533,0.03536554,0.999969482421875
1,59,-0.5008432,0.036972087,0.999969482421875
1,60,-0.46254173,0.03830151,0.999969482421875
1,61,-0.42319563,0.03934609,0.999969482421875
1,62,-0.38309127,0.040104356,0.999969482421875
1,63,-0.34250984,0.040581435,0.999969482421875
1,64,-0.3017208,0.040789053,0.999969482421875
1,65,-0.2609757,0.040745113,0.999969482421875
1,66,-0.22050275,0.040472936,0.999969482421875
1,67,-0.18050252,0.040000223,0.999969482421875
1,68,-0.14114468,0.039357845,0.999969482421875
1,69,-0.102566086,0.038578592,0.999969482421875
1,70,-0.06487012,0.037695963,0.999969482421875
1,71,-0.028127009,0.03674311,0.999969482421875
1,72,0.0076249484,0.035751957,0.999969482421875
1,73,0.042377513,0.034752566,0.999969482421875
1,74,0.07615021,0.033772696,0.999969482421875
1,75,0.108987816,0.032837603,0.999969482421875
1,76,0.14095782,0.03197,0.999969482421875
1,77,0.17214799,0.031190172,0.999969482421875
1,78,0.20266417,0.030516174,0.999969482421875
1,79,0.2326283,0.029964138,0.999969482421875
1,80,0.26217687,0.029548584,0.999969482421875
1,81,0.29145965,0.029282775,0.999969482421875
1,82,0.3206387,0.029179046,0.999969482421875
