episode,step,position,velocity,action
1,1,-0.47946516,-0.0003325077,0.0
1,2,-0.4801277,-0.00066254364,0.0
1,3,-0.48111534,-0.0009876534,0.0
1,4,-0.48242077,-0.0013054173,0.0
1,5,-0.48403424,-0.0016134673,0.0
1,6,-0.48594373,-0.0019095051,0.0
1,7,-0.48798025,-0.002036502,0.10321044921875
1,8,-0.48946196,-0.0014817216,0.547607421875
1,9,-0.48979452,-0.0003325611,0.936492919921875
1,10,-0.48888022,0.0009142956,0.999969482421875
1,11,-0.4867259,0.0021543312,0.999969482421875
1,12,-0.4833476,0.0033783026,0.999969482421875
1,13,-0.4787705,0.004577106,0.999969482421875
1,14,-0.47302863,0.0057418607,0.999969482421875
1,15,-0.46616465,0.006863992,0.999969482421875
1,16,-0.45822933,0.007935319,0.999969482421875
1,17,-0.4492812,0.008948139,0.999969482421875
1,18,-0.43938586,0.009895317,0.999969482421875
1,19,-0.42861548,0.010770372,0.999969482421875
1,20,-0.41704792,0.011567553,0.999969482421875
1,21,-0.404766,0.012281915,0.999969482421875
1,22,-0.3918566,0.012909383,0.999969482421875
1,23,-0.3784098,0.013446794,0.999969482421875
1,24,-0.36451787,0.013891937,0.999969482421875
1,25,-0.3502743,0.014243562,0.999969482421875
1,26,-0.33577293,0.014501373,0.999969482421875
1,27,-0.32110694,0.014666004,0.999969482421875
1,28,-0.30636796,0.014738968,0.999969482421875
1,29,-0.29164538,0.014722589,0.999969482421875
1,30,-0.27702546,0.014619929,0.999969482421875
1,31,-0.2625908,0.01443468,0.999969482421875
1,32,-0.24841973,0.0141710695,0.999969482421875
1,33,-0.23458599,0.0138337435,0.999969482421875
1,34,-0.22115833,0.013427658,0.999969482421875
1,35,-0.20820035,0.01295797,0.999969482421875
1,36,-0.19577041,0.012429933,0.999969482421875
1,37,-0.1839216,0.011848804,0.999969482421875
1,38,-0.17270185,0.011219756,0.999969482421875
1,39,-0.16247544,0.010226416,0.78570556640625
1,40,-0.15401737,0.0084580695,0.293670654296875
1,41,-0.14779715,0.0062202206,0.0
1,42,-0.14383519,0.003961966,0.0
1,43,-0.14214407,0.0016911231,0.0
1,44,-0.14272906,-0.000584995,0.0
1,45,-0.14558835,-0.0028592949,0.0
1,46,-0.15071297,-0.005124607,0.0
1,47,-0.15808636,-0.007373394,0.0
1,48,-0.16768382,-0.009597472,0.0
1,49,-0.17947158,-0.011787761,0.0
1,50,-0.19340564,-0.013934067,0.0
1,51,-0.20943058,-0.016024927,0.0
1,52,-0.22747809,-0.018047508,0.0
1,53,-0.2474657,-0.019987607,0.0
1,54,-0.26929542,-0.021829732,0.0
1,55,-0.29285273,-0.023557302,0.0
1,56,-0.31800568,-0.025152955,0.0
1,57,-0.34460467,-0.026598983,0.0
1,58,-0.3724825,-0.027877847,0.0
1,59,-0.4014553,-0.028972793,0.0
1,60,-0.43132383,-0.029868506,0.0
1,61,-0.4618756,-0.030551763,0.0
1,62,-0.49288765,-0.031012047,0.0
1,63,-0.5241297,-0.031242054,0.0
1,64,-0.55536777,-0.031238072,0.0
1,65,-0.5863679,-0.031000165,0.0
1,66,-0.6169001,-0.030532174,0.0
1,67,-0.6467416,-0.029841516,0.0
1,68,-0.67568046,-0.02893881,0.0
1,69,-0.7035178,-0.027837358,0.0
1,70,-0.73007035,-0.02655254,0.0
1,71,-0.7551715,-0.025101142,0.0
1,72,-0.7786722,-0.02350072,0.0
1,73,-0.8004412,-0.02176898,0.0
1,74,-0.8203645,-0.019923262,0.0
