episode,step,position,velocity,action
1,1,-0.40408546,-0.0023656979,-0.9812246561050415
1,2,-0.40882844,-0.0047429665,-1.0454847812652588
1,3,-0.4158879,-0.007059459,-0.9817481637001038
1,4,-0.4252412,-0.009353306,-1.0063412189483643
1,5,-0.4367886,-0.011547401,-0.9780470132827759
1,6,-0.45047972,-0.013691142,-1.0040727853775024
1,7,-0.46621487,-0.015735148,-1.028791904449463
1,8,-0.48387825,-0.017663404,-1.0007672309875488
1,9,-0.503318,-0.019439774,-0.9861129522323608
1,10,-0.5244098,-0.021091785,-1.028353214263916
1,11,-0.5469858,-0.022576028,-0.9935504198074341
1,12,-0.5708385,-0.023852728,-0.9679720997810364
1,13,-0.5958381,-0.024999615,-1.0049747228622437
1,14,-0.62178236,-0.025944248,-0.9881309866905212
1,15,-0.6484955,-0.026713112,-0.9964269399642944
1,16,-0.67579365,-0.027298152,-1.0242863893508911
1,17,-0.7034854,-0.027691802,-0.9972411394119263
1,18,-0.7287814,-0.025296003,0.7407928705215454
1,19,-0.7541155,-0.02533412,-0.9877543449401855
1,20,-0.77684915,-0.022733625,0.6707767248153687
1,21,-0.79936093,-0.022511773,-1.0064107179641724
1,22,-0.821501,-0.022140069,-0.9790260195732117
1,23,-0.84318864,-0.02168763,-0.9973735809326172
1,24,-0.86433005,-0.021141417,-1.0100470781326294
1,25,-0.88480955,-0.020479508,-0.9808167815208435
1,26,-0.90448815,-0.019678602,-0.9388355612754822
1,27,-0.9233924,-0.01890424,-1.0044596195220947
1,28,-0.94146013,-0.01806771,-0.9953368902206421
1,29,-0.95865256,-0.017192438,-1.001716136932373
1,30,-0.97491723,-0.016264668,-0.9896963834762573
1,31,-0.99024045,-0.015323212,-1.0159255266189575
1,32,-1.0046,-0.0143596195,-1.0087045431137085
1,33,-1.0179801,-0.013380005,-1.0101028680801392
1,34,-1.0276828,-0.009702711,0.7912608981132507
1,35,-1.0363898,-0.008706994,-1.001769781112671
1,36,-1.0440872,-0.00769729,-0.9926542043685913
1,37,-1.0507615,-0.0066743144,-0.984610378742218
1,38,-1.056436,-0.005674457,-1.0106428861618042
1,39,-1.0611033,-0.0046674144,-0.9946648478507996
1,40,-1.064773,-0.0036695895,-1.002227783203125
1,41,-1.067446,-0.002673064,-1.000471591949463
1,42,-1.0691236,-0.0016776749,-1.011203408241272
1,43,-1.0697981,-0.00067447865,-0.9942647814750671
1,44,-1.0694784,0.0003197772,-1.022477149963379
1,45,-1.0681088,0.0013695633,-0.9630873799324036
1,46,-1.0628883,0.0052205143,0.9039124250411987
1,47,-1.0537145,0.009173715,0.970646321773529
1,48,-1.0406333,0.0130812125,0.9386506080627441
1,49,-1.0235525,0.017080728,1.01496422290802
1,50,-1.002527,0.021025525,0.9673892259597778
1,51,-0.97753274,0.024994247,0.9940909743309021
1,52,-0.9485929,0.028939847,1.0334410667419434
1,53,-0.91576326,0.032829665,0.9989374279975891
1,54,-0.87913674,0.0366265,0.992447555065155
1,55,-0.84176683,0.037369892,-0.9636874794960022
1,56,-0.8008569,0.04090996,1.067244291305542
1,57,-0.7565991,0.04425778,1.024389624595642
1,58,-0.7092327,0.04736641,1.0359388589859009
1,59,-0.6596234,0.04960933,0.6143490076065063
1,60,-0.60754645,0.052076917,0.9836544394493103
1,61,-0.55336833,0.05417811,0.9854801297187805
1,62,-0.49746725,0.055901088,1.0282635688781738
1,63,-0.44034228,0.057124976,0.9464489221572876
1,64,-0.3851777,0.05516458,-0.8949628472328186
1,65,-0.3295871,0.055590596,0.9563959240913391
1,66,-0.27387083,0.055716284,1.0134837627410889
1,67,-0.21835715,0.05551368,1.0003055334091187
1,68,-0.16340373,0.054953404,0.9481567144393921
1,69,-0.10924988,0.054153852,0.9373557567596436
1,70,-0.055976275,0.053273607,0.9911184310913086
1,71,-0.003667501,0.052308775,1.0192809104919434
1,72,0.047589857,0.05125736,0.9656214118003845
1,73,0.09784545,0.050255593,0.9818640947341919
1,74,0.14720796,0.049362507,0.9999879002571106
1,75,0.19581032,0.04860236,1.0345029830932617
1,76,0.24383162,0.0480213,0.9999064207077026
1,77,0.2914925,0.04766086,1.0124558210372925
1,78,0.33904985,0.047557365,1.042914628982544
1,79,0.38679272,0.047742885,1.0013480186462402
1,80,0.4350364,0.048243668,0.9988427758216858
1,81,0.4840722,0.049035825,0.9657254815101624
2,1,-0.55245095,-0.0012556945,-0.9749544262886047
2,2,-0.5549751,-0.0025241333,-0.9897066950798035
2,3,-0.5587483,-0.0037732278,-0.9893797039985657
2,4,-0.5637215,-0.00497315,-0.9753702282905579
2,5,-0.5698713,-0.0061498024,-0.984564483165741
2,6,-0.57717365,-0.0073023355,-0.9989758133888245
2,7,-0.5855759,-0.008402252,-1.0182727575302124
2,8,-0.5949955,-0.009419616,-0.9863459467887878
2,9,-0.6053703,-0.01037477,-0.9910292625427246
2,10,-0.6166184,-0.011248106,-0.9869931936264038
2,11,-0.628655,-0.012036648,-0.9847794771194458
2,12,-0.64138937,-0.012734328,-0.9817483425140381
2,13,-0.6547585,-0.01336917,-1.0041170120239258
2,14,-0.66866916,-0.01391066,-1.0121569633483887
2,15,-0.68302584,-0.014356655,-1.028753638267517
2,16,-0.69773185,-0.01470602,-1.0169174671173096
2,17,-0.71260995,-0.014878089,-0.9463133811950684
2,18,-0.7276308,-0.015020858,-0.9903995990753174
2,19,-0.7427152,-0.015084397,-1.010370135307312
2,20,-0.75772214,-0.015006961,-0.9667436480522156
2,21,-0.7725749,-0.014852773,-0.9739221334457397
2,22,-0.78722435,-0.014649448,-0.9967631697654724
2,23,-0.8015964,-0.014372023,-1.0351505279541016
2,24,-0.81561685,-0.014020473,-1.0002737045288086
2,25,-0.82921153,-0.013594707,-0.9965206980705261
2,26,-0.8422569,-0.013045342,-0.9565603137016296
2,27,-0.8528577,-0.010600833,0.2682119905948639
2,28,-0.86285853,-0.01000082,-0.9913312196731567
