episode,step,position,velocity,action
1,1,-0.46236193,-0.0019712248,-1.0
1,2,-0.46628985,-0.003927922,-1.0
1,3,-0.47214547,-0.0058556246,-1.0
1,4,-0.47988546,-0.0077399937,-1.0
1,5,-0.48945236,-0.009566905,-1.0
1,6,-0.5007749,-0.011322555,-1.0
1,7,-0.5137685,-0.0129936,-1.0
1,8,-0.5283358,-0.0145673165,-1.0
1,9,-0.5443676,-0.01603179,-1.0
1,10,-0.56174374,-0.017376125,-1.0
1,11,-0.5803344,-0.01859066,-1.0
1,12,-0.60000163,-0.019667195,-1.0
1,13,-0.6206008,-0.020599177,-1.0
1,14,-0.64198273,-0.021381887,-1.0
1,15,-0.66399527,-0.022012554,-1.0
1,16,-0.6864857,-0.022490438,-1.0
1,17,-0.70930254,-0.02281683,-1.0
1,18,-0.73229754,-0.022994988,-1.0
1,19,-0.7553276,-0.023030022,-1.0
1,20,-0.7782563,-0.0229287,-1.0
1,21,-0.80095553,-0.02269921,-1.0
1,22,-0.82330644,-0.022350894,-1.0
1,23,-0.84520036,-0.02189394,-1.0
1,24,-0.8665395,-0.021339096,-1.0
1,25,-0.88723683,-0.020697366,-1.0
1,26,-0.90721655,-0.019979743,-1.0
1,27,-0.92641354,-0.019196963,-1.0
1,28,-0.94477284,-0.018359298,-1.0
1,29,-0.9622492,-0.017476395,-1.0
1,30,-0.9788064,-0.016557138,-1.0
1,31,-0.99441594,-0.0156095745,-1.0
1,32,-1.0090568,-0.01464085,-1.0
1,33,-1.022714,-0.013657197,-1.0
1,34,-1.035378,-0.012663938,-1.0
1,35,-1.0470434,-0.01166551,-1.0
1,36,-1.057709,-0.01066551,-1.0
1,37,-1.0673758,-0.009666753,-1.0
1,38,-1.0760471,-0.008671332,-1.0
1,39,-1.0837277,-0.0076806895,-1.0
1,40,-1.0904233,-0.006695687,-1.0
1,41,-1.09614,-0.0057166778,-1.0
1,42,-1.1008836,-0.0047435774,-1.0
1,43,-1.1046596,-0.0037759321,-1.0
1,44,-1.1074725,-0.0028129865,-1.0
1,45,-1.1093262,-0.0018537473,-1.0
1,46,-1.1102233,-0.0008970464,-1.0
1,47,-1.1101649,5.8398815e-05,-1.0
1,48,-1.106151,0.0040139263,1.0
1,49,-1.098176,0.007974928,1.0
1,50,-1.0862303,0.011945749,1.0
1,51,-1.0703017,0.015928628,1.0
1,52,-1.050379,0.019922625,1.0
1,53,-1.0264565,0.023922512,1.0
1,54,-0.9985388,0.027917674,1.0
1,55,-0.9666477,0.031891085,1.0
1,56,-0.9308292,0.035818446,1.0
1,57,-0.89116156,0.039667644,1.0
1,58,-0.8477629,0.043398704,1.0
1,59,-0.8007985,0.046964433,1.0
1,60,-0.7504865,0.050311957,1.0
1,61,-0.6971013,0.053385228,1.0
1,62,-0.6409728,0.056128528,1.0
1,63,-0.58248204,0.058490753,1.0
1,64,-0.52205193,0.060430083,1.0
1,65,-0.46013346,0.061918482,1.0
1,66,-0.3971881,0.062945366,1.0
1,67,-0.33366826,0.06351985,1.0
1,68,-0.26999706,0.06367121,1.0
1,69,-0.20654961,0.063447446,1.0
1,70,-0.14363737,0.06291224,1.0
1,71,-0.0814966,0.062140778,1.0
1,72,-0.020281471,0.061215125,1.0
1,73,0.03993828,0.06021975,1.0
1,74,0.09917595,0.059237674,1.0
1,75,0.15752347,0.058347512,1.0
1,76,0.21514498,0.05762151,1.0
1,77,0.2722694,0.057124414,1.0
1,78,0.32918245,0.056913037,1.0
1,79,0.38621864,0.05703619,1.0
1,80,0.4437534,0.05753476,1.0
1,81,0.502195,0.05844163,1.0
2,1,-0.5778948,-0.0011027413,-1.0
2,2,-0.58009213,-0.0021973194,-1.0
2,3,-0.58336776,-0.0032756447,-1.0
2,4,-0.58769757,-0.0043297755,-1.0
2,5,-0.5930496,-0.005351992,-1.0
2,6,-0.5993845,-0.006334871,-1.0
2,7,-0.60665584,-0.0072713625,-1.0
2,8,-0.6148107,-0.008154861,-1.0
2,9,-0.62378997,-0.008979277,-1.0
2,10,-0.63352907,-0.0097391065,-1.0
2,11,-0.64395857,-0.010429493,-1.0
2,12,-0.65500486,-0.011046283,-1.0
2,13,-0.6665909,-0.011586066,-1.0
2,14,-0.67863715,-0.012046216,-1.0
