episode,step,position,velocity,action
1,1,-0.5037218,-0.00015011309,0.0
1,2,-0.50402087,-0.00029910228,0.0
1,3,-0.5044667,-0.00044585217,0.0
1,4,-0.50505596,-0.00058926386,0.0
1,5,-0.5057842,-0.0007282632,0.0
1,6,-0.50664604,-0.00086180883,0.0
1,7,-0.50763494,-0.0009888996,0.0
1,8,-0.5087435,-0.0011085826,0.0
1,9,-0.5099635,-0.00121996,0.0
1,10,-0.5112857,-0.001322196,0.0
1,11,-0.51270026,-0.0014145229,0.0
1,12,-0.5141965,-0.0014962471,0.0
1,13,-0.5157633,-0.0015667548,0.0
1,14,-0.5173888,-0.0016255155,0.0
1,15,-0.5190609,-0.0016720875,0.0
1,16,-0.5209897,-0.0019287766,-0.1484375
1,17,-0.52406305,-0.0030733445,-0.75
1,18,-0.52863294,-0.0045698625,-1.0
1,19,-0.53466505,-0.006032108,-1.0
1,20,-0.5421142,-0.007449126,-1.0
1,21,-0.55092454,-0.008810332,-1.0
1,22,-0.56103015,-0.010105618,-1.0
1,23,-0.5723556,-0.011325473,-1.0
1,24,-0.58481675,-0.012461099,-1.0
1,25,-0.5983213,-0.013504541,-1.0
1,26,-0.61277014,-0.014448803,-1.0
1,27,-0.62805814,-0.015287966,-1.0
1,28,-0.6440754,-0.01601728,-1.0
1,29,-0.66070867,-0.01663325,-1.0
1,30,-0.6778423,-0.01713368,-1.0
1,31,-0.69536,-0.017517697,-1.0
1,32,-0.71314573,-0.017785743,-1.0
1,33,-0.73108524,-0.017939525,-1.0
1,34,-0.7490672,-0.017981937,-1.0
1,35,-0.76698416,-0.017916953,-1.0
1,36,-0.78473365,-0.017749488,-1.0
1,37,-0.80173844,-0.01700478,-0.6796875
1,38,-0.81703156,-0.015293139,-0.09375
1,39,-0.83039737,-0.013365816,0.0
1,40,-0.84177357,-0.011376213,0.0
1,41,-0.8511097,-0.009336116,0.0
1,42,-0.858366,-0.007256352,0.0
1,43,-0.8635129,-0.0051468834,0.0
1,44,-0.8665298,-0.0030169506,0.0
1,45,-0.86740506,-0.00087525795,0.0
1,46,-0.86613524,0.0012698135,0.0
1,47,-0.86272526,0.003409978,0.0
1,48,-0.85718846,0.005536812,0.0
1,49,-0.8495469,0.0076415273,0.0
1,50,-0.8398321,0.009714765,0.0
1,51,-0.8280857,0.011746411,0.0
1,52,-0.81436026,0.013725469,0.0
1,53,-0.7987203,0.015639968,0.0
1,54,-0.7812433,0.017476955,0.0
1,55,-0.76202077,0.019222552,0.0
1,56,-0.74115866,0.020862097,0.0
1,57,-0.71877825,0.022380391,0.0
1,58,-0.69499236,0.023785861,0.015899658203125
1,59,-0.669346,0.025646398,0.420654296875
1,60,-0.6414862,0.027859759,0.76983642578125
1,61,-0.61126065,0.030225553,0.999969482421875
1,62,-0.57888526,0.032375418,0.999969482421875
1,63,-0.54459715,0.034288123,0.999969482421875
1,64,-0.5086517,0.03594546,0.999969482421875
1,65,-0.47131833,0.037333347,0.999969482421875
1,66,-0.43287554,0.0384428,0.999969482421875
1,67,-0.39360484,0.039270703,0.999969482421875
1,68,-0.35378462,0.039820228,0.999969482421875
1,69,-0.31368366,0.040100954,0.999969482421875
1,70,-0.2735551,0.040128563,0.999969482421875
1,71,-0.23363093,0.039924182,0.999969482421875
1,72,-0.19411746,0.03951347,0.999969482421875
1,73,-0.15519196,0.038925495,0.999969482421875
